source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,stars_osm,brand_tier,tier_num,tier_label,matched_db_id,matched_db_name,match_score,match_distance_m,client_brand_hint,classification
geoapify,51d6b18546605854c05952c381cdde563340f00102f901c67db503000000009203355468652057657374696e204772616e64204361796d616e20536576656e204d696c65204265616368205265736f7274202620537061,ky_cayman_islands,The Westin Grand Cayman Seven Mile Beach Resort & Spa,Westin,19.3393372,-81.3808762,The Westin Grand Cayman Seven Mile Beach Resort & Spa,West Bay,,KY1-1201,Cayman Islands,+1 345 945 3800,https://www.marriott.com/en-us/hotels/gcmmi-the-westin-grand-cayman-seven-mile-beach-resort-and-spa/overview/,,tier3_upper_upscale,3,Upper Upscale,,,,,True,NEW
geoapify,512c49545e615854c059fb78fc65e6563340f00103f90133f7387b020000009203355468652057657374696e204772616e64204361796d616e20536576656e204d696c65204265616368205265736f7274202620537061,ky_cayman_islands,The Westin Grand Cayman Seven Mile Beach Resort & Spa,Westin,19.3394531,-81.3809429,The Westin Grand Cayman Seven Mile Beach Resort & Spa,West Bay,,KY1-1201,Cayman Islands,+1 345 945 3800,https://www.marriott.com/en-us/hotels/gcmmi-the-westin-grand-cayman-seven-mile-beach-resort-and-spa/overview/,,tier3_upper_upscale,3,Upper Upscale,,,,,True,NEW
geoapify,5106fa9f57975854c05912d1627770503340f00103f901daf93c2e0000000092031b4d617267617269746176696c6c65204265616368205265736f7274,ky_cayman_islands,Margaritaville Beach Resort,,19.3142161,-81.3842372,Margaritaville Beach Resort,George Town,,KY1-1205,Cayman Islands,,https://www.margaritavilleresortgrandcayman.com/,,tier4_upscale,4,Upscale,,,,,False,NEW
geoapify,51b46b6303735854c05967bc1164f3533340f00102f901bf7db50300000000920327487961747420526567656e6379204772616e64204361796d616e20426561636820537569746573,ky_cayman_islands,Hyatt Regency Grand Cayman Beach Suites,Hyatt Regency,19.3279326,-81.3820199,Hyatt Regency Grand Cayman Beach Suites,West Bay,,KY1-1103,Cayman Islands,,,,tier3_upper_upscale,3,Upper Upscale,,,,,False,NEW
geoapify,51080b3f65845854c05990452bd9fb593340f00102f901d47db5030000000092031e4b696d70746f6e2053656166697265205265736f727420616e6420537061,ky_cayman_islands,Kimpton Seafire Resort and Spa,Kimpton,19.3514992,-81.3830808,Kimpton Seafire Resort and Spa,West Bay,,KY1-1108,Cayman Islands,,,,tier3_upper_upscale,3,Upper Upscale,224,Kimpton Seafire Resort & Spa,96.29629629629629,22.0,False,CLIENT
geoapify,5187f9b804615854c0596a52113fff553340f00102f901d97db50300000000920310546865205269747a2d4361726c746f6e,ky_cayman_islands,The Ritz-Carlton,The Ritz-Carlton,19.335926,-81.3809215,The Ritz-Carlton,George Town,,KY1-1103,Cayman Islands,,,,tier2_luxury,2,Luxury,,,,,True,NEW
geoapify,519c3a958b445854c05930dd093312563340f00102f901c3c9091600000000920310546865205269747a2d4361726c746f6e,ky_cayman_islands,The Ritz-Carlton,The Ritz-Carlton,19.3362152,-81.3791837,The Ritz-Carlton,West Bay,,KY1-1103,Cayman Islands,,,,tier2_luxury,2,Luxury,,,,,True,NEW
geoapify,51bb266d5dd45854c05930b73d6de85b3340f00102f901feb956160000000092030f5468652052656e61697373616e6365,ky_cayman_islands,The Renaissance,,19.3590153,-81.3879617,The Renaissance,West Bay,,KY1-1108,Cayman Islands,,,,tier3_upper_upscale,3,Upper Upscale,,,,,False,NEW
